2025-06-10 10:51:11,413 - INFO - PairManager initialized with available pairs
2025-06-10 10:51:11,522 - DEBUG - Checking pair (0, 10000160, 10000170): start=False, end=True, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,523 - DEBUG - Checking pair (0, 10000160, 10000171): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,523 - DEBUG - Checking pair (0, 10000160, 10000140): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,523 - DEBUG - Checking pair (0, 10000160, 10000141): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,523 - DEBUG - Checking pair (0, 10000161, 10000170): start=False, end=True, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,523 - DEBUG - Checking pair (0, 10000161, 10000171): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,523 - DEBUG - Checking pair (0, 10000161, 10000140): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,523 - DEBUG - Checking pair (0, 10000161, 10000141): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,523 - DEBUG - Checking pair (0, 10000162, 10000170): start=True, end=True, end_camera=2, post_sent=False, timer=0.11s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,524 - DEBUG - Checking pair (0, 10000162, 10000171): start=True, end=False, end_camera=2, post_sent=False, timer=0.11s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,524 - DEBUG - Checking pair (0, 10000162, 10000140): start=True, end=False, end_camera=2, post_sent=False, timer=0.11s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,524 - DEBUG - Checking pair (0, 10000162, 10000141): start=True, end=False, end_camera=2, post_sent=False, timer=0.11s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,525 - DEBUG - Checking pair (0, 10000163, 10000170): start=True, end=True, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,526 - DEBUG - Checking pair (0, 10000163, 10000171): start=True, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,526 - DEBUG - Checking pair (0, 10000163, 10000140): start=True, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,526 - DEBUG - Checking pair (0, 10000163, 10000141): start=True, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,526 - DEBUG - Checking pair (0, 10000160, 10000170): start=False, end=True, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,526 - DEBUG - Checking pair (0, 10000160, 10000171): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,526 - DEBUG - Checking pair (0, 10000160, 10000140): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,526 - DEBUG - Checking pair (0, 10000160, 10000141): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,526 - DEBUG - Checking pair (0, 10000161, 10000170): start=False, end=True, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,526 - DEBUG - Checking pair (0, 10000161, 10000171): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,526 - DEBUG - Checking pair (0, 10000161, 10000140): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,526 - DEBUG - Checking pair (0, 10000161, 10000141): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,527 - DEBUG - Checking pair (0, 10000162, 10000170): start=True, end=True, end_camera=2, post_sent=False, timer=0.11s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,527 - DEBUG - Checking pair (0, 10000162, 10000171): start=True, end=False, end_camera=2, post_sent=False, timer=0.11s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,527 - DEBUG - Checking pair (0, 10000162, 10000140): start=True, end=False, end_camera=2, post_sent=False, timer=0.11s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,527 - DEBUG - Checking pair (0, 10000162, 10000141): start=True, end=False, end_camera=2, post_sent=False, timer=0.11s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,527 - DEBUG - Checking pair (0, 10000163, 10000170): start=True, end=True, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,528 - DEBUG - Checking pair (0, 10000163, 10000171): start=True, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,528 - DEBUG - Checking pair (0, 10000163, 10000140): start=True, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,528 - DEBUG - Checking pair (0, 10000163, 10000141): start=True, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,528 - DEBUG - Checking pair (0, 10000160, 10000170): start=False, end=True, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,528 - DEBUG - Checking pair (0, 10000160, 10000171): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,528 - DEBUG - Checking pair (0, 10000160, 10000140): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,528 - DEBUG - Checking pair (0, 10000160, 10000141): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,528 - DEBUG - Checking pair (0, 10000161, 10000170): start=False, end=True, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,529 - DEBUG - Checking pair (0, 10000161, 10000171): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,529 - DEBUG - Checking pair (0, 10000161, 10000140): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,529 - DEBUG - Checking pair (0, 10000161, 10000141): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,529 - DEBUG - Checking pair (0, 10000162, 10000170): start=True, end=True, end_camera=2, post_sent=False, timer=0.12s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,530 - DEBUG - Checking pair (0, 10000162, 10000171): start=True, end=False, end_camera=2, post_sent=False, timer=0.11s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,530 - DEBUG - Checking pair (0, 10000162, 10000140): start=True, end=False, end_camera=2, post_sent=False, timer=0.11s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,530 - DEBUG - Checking pair (0, 10000162, 10000141): start=True, end=False, end_camera=2, post_sent=False, timer=0.11s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,530 - DEBUG - Checking pair (0, 10000163, 10000170): start=True, end=True, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,530 - DEBUG - Checking pair (0, 10000163, 10000171): start=True, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,530 - DEBUG - Checking pair (0, 10000163, 10000140): start=True, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,530 - DEBUG - Checking pair (0, 10000163, 10000141): start=True, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,530 - DEBUG - Checking pair (0, 10000160, 10000170): start=False, end=True, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,530 - DEBUG - Checking pair (0, 10000160, 10000171): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,530 - DEBUG - Checking pair (0, 10000160, 10000140): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,530 - DEBUG - Checking pair (0, 10000160, 10000141): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,530 - DEBUG - Checking pair (0, 10000161, 10000170): start=False, end=True, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,530 - DEBUG - Checking pair (0, 10000161, 10000171): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,530 - DEBUG - Checking pair (0, 10000161, 10000140): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,530 - DEBUG - Checking pair (0, 10000161, 10000141): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,531 - DEBUG - Checking pair (0, 10000162, 10000170): start=True, end=True, end_camera=2, post_sent=False, timer=0.12s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,531 - DEBUG - Checking pair (0, 10000162, 10000171): start=True, end=False, end_camera=2, post_sent=False, timer=0.12s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,531 - DEBUG - Checking pair (0, 10000162, 10000140): start=True, end=False, end_camera=2, post_sent=False, timer=0.11s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,531 - DEBUG - Checking pair (0, 10000162, 10000141): start=True, end=False, end_camera=2, post_sent=False, timer=0.11s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,531 - DEBUG - Checking pair (0, 10000163, 10000170): start=True, end=True, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,531 - DEBUG - Checking pair (0, 10000163, 10000171): start=True, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,531 - DEBUG - Checking pair (0, 10000163, 10000140): start=True, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,531 - DEBUG - Checking pair (0, 10000163, 10000141): start=True, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,531 - DEBUG - Checking pair (1, 10000146, 10000164): start=True, end=False, end_camera=0, post_sent=False, timer=0.11s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,532 - DEBUG - Checking pair (1, 10000234, 10000164): start=True, end=False, end_camera=0, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,532 - INFO - Timer started for camera 2, pair (10000172, 10000147)
2025-06-10 10:51:11,532 - DEBUG - Checking pair (2, 10000172, 10000147): start=True, end=False, end_camera=1, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,633 - DEBUG - Checking pair (0, 10000160, 10000170): start=False, end=True, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,633 - DEBUG - Checking pair (0, 10000160, 10000171): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,633 - DEBUG - Checking pair (0, 10000160, 10000140): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,633 - DEBUG - Checking pair (0, 10000160, 10000141): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,633 - DEBUG - Checking pair (0, 10000161, 10000170): start=False, end=True, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,633 - DEBUG - Checking pair (0, 10000161, 10000171): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,633 - DEBUG - Checking pair (0, 10000161, 10000140): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
