2025-06-09 10:00:50,938 - ERROR - Error initializing PairManager: list indices must be integers or slices, not str
2025-06-09 10:00:50,938 - ERROR - Error in main: list indices must be integers or slices, not str
2025-06-09 10:03:20,172 - ERROR - Error initializing PairManager: list indices must be integers or slices, not str
2025-06-09 10:03:20,172 - ERROR - Error in main: list indices must be integers or slices, not str
2025-06-09 14:21:40,055 - ERROR - Error marking post_sent for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:21:40,055 - ERROR - Error in delay_post_request for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:21:50,227 - ERROR - Error marking post_sent for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:21:50,227 - ERROR - Error in delay_post_request for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:22:00,371 - ERROR - Error marking post_sent for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:22:00,371 - ERROR - Error in delay_post_request for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:22:10,506 - ERROR - Error marking post_sent for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:22:10,506 - ERROR - Error in delay_post_request for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:22:20,643 - ERROR - Error marking post_sent for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:22:20,644 - ERROR - Error in delay_post_request for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:22:30,792 - ERROR - Error marking post_sent for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:22:30,792 - ERROR - Error in delay_post_request for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:22:40,959 - ERROR - Error marking post_sent for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:22:40,959 - ERROR - Error in delay_post_request for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:22:51,116 - ERROR - Error marking post_sent for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
